aircraftRegistration	flightNumber	airlineCode_iata	airlineCode_icao	jointFlightNumber	origin_iata	origin_icao	via_iata	via_icao	destination_iata	destination_icao	aircraft_iata	aircraft_icao	flightStatusCode	scheduledDateTime	aircraftParkingPosition	baggageClaimUnit	airlineName	originName	viaName	aircraftTerminal
A6EPY	EK 822	EK	UAE	"QF 8822	MK 9943"	DMM	OEDF	None	None	DXB	OMDB	77W	B77W	EST	2024-10-11T01:00:00	B22	14	Emirates	Dammam	None	3
A6EGG	EK 066	EK	UAE	None	STN	EGSS	None	None	DXB	OMDB	77W	B77W	EST	2024-10-11T01:00:00	B21L	9	Emirates	London Stansted	None	3
A6EGC	EK 122	EK	UAE	QF 8122	IST	LTFM	None	None	DXB	OMDB	77W	B77W	EST	2024-10-11T00:55:00	F23	3	Emirates	Istanbul	None	3
A6EOR	EK 369	EK	UAE	GA 8983	DPS	WADD	None	None	DXB	OMDB	388	A388	EST	2024-10-11T00:50:00	A06	10	Emirates	Bali	None	3
A6ENU	EK 162	EK	UAE	QF 8162	DUB	EIDW	None	None	DXB	OMDB	77W	B77W	EST	2024-10-11T00:50:00	G02	13	Emirates	Dublin	None	3
A6ENS	EK 192	EK	UAE	TP 6731	LIS	LPPT	None	None	DXB	OMDB	77W	B77W	EST	2024-10-11T00:50:00	B18L	5	Emirates	Lisbon	None	3
A6EEI	EK 373	EK	UAE	"QF 8373	TG 4507"	BKK	VTBS	None	None	DXB	OMDB	388	A388	EST	2024-10-11T00:50:00	C24	6	Emirates	Bangkok	None	3
A6EGM	EK 547	EK	UAE	None	MAA	VOMM	None	None	DXB	OMDB	77W	B77W	EST	2024-10-11T00:45:00	B05	8	Emirates	Chennai	None	3
A6FEG	FZ 020	FZ	FDB	None	DOH	OTHH	None	None	DXB	OMDB	73H	B738	EST	2024-10-11T00:40:00	Q07	6	Flydubai	Doha	None	2
A6EUO	EK 040	EK	UAE	QF 8040	BHX	EGBB	None	None	DXB	OMDB	388	A388	DLU	2024-10-11T00:40:00	F07	12	Emirates	Birmingham	None	3
A6EEN	EK 016	EK	UAE	QF 8016	LGW	EGKK	None	None	DXB	OMDB	388	A388	EST	2024-10-11T00:40:00	D06	11	Emirates	London Gatwick	None	3
A6EEJ	EK 924	EK	UAE	"QF 8924	MK 9929"	CAI	HECA	None	None	DXB	OMDB	388	A388	EST	2024-10-11T00:40:00	F03	9	Emirates	Cairo	None	3
None	6E 1473	6E	IGO	None	CCJ	VOCL	None	None	DXB	OMDB	32N	A20N	EST	2024-10-11T00:40:00	C56	1	IndiGo	Kozhikode	None	1
A6EEC	EK 142	EK	UAE	"QF 8142	AV 6252"	MAD	LEMD	None	None	DXB	OMDB	388	A388	EST	2024-10-11T00:35:00	A07	7	Emirates	Madrid	None	3
A6EGD	EK 773	EK	UAE	SA 7154	CPT	FACT	None	None	DXB	OMDB	77W	B77W	EST	2024-10-11T00:35:00	None	2	Emirates	Cape Town	None	3
A6ENC	EK 036	EK	UAE	QF 8036	NCL	EGNT	None	None	DXB	OMDB	77W	B77W	EST	2024-10-11T00:30:00	G03	4	Emirates	Newcastle	None	3
A6EWE	EK 248	EK	UAE	None	EZE	SAEZ	GIG	SBGL	DXB	OMDB	77L	B77L	EST	2024-10-11T00:30:00	A02	5	Emirates	Buenos Aires	Rio de Janeiro	3
None	BG 147	BG	BBC	None	DAC	VGHS	CGP	VGEG	DXB	OMDB	789	B789	EST	2024-10-11T00:30:00	C59	8	Biman Bangladesh Airlines	Dhaka	Chittagong	1
A6EOV	EK 074	EK	UAE	"QF 8074	GA 8860"	CDG	LFPG	None	None	DXB	OMDB	388	A388	EST	2024-10-11T00:20:00	F21	10	Emirates	Paris	None	3
A6EVI	EK 002	EK	UAE	"QF 8002	GA 8862"	LHR	EGLL	None	None	DXB	OMDB	388	A388	EST	2024-10-11T00:20:00	D05	None	Emirates	London Heathrow	None	3
A6FNC	FZ 856	FZ	FDB	EK 2265	RUH	OERK	None	None	DXB	OMDB	7M9	B39M	EST	2024-10-11T00:20:00	E07R	4	Flydubai	Riyadh	None	2
A6EOC	EK 018	EK	UAE	"QF 8018	GA 8868"	MAN	EGCC	None	None	DXB	OMDB	388	A388	EST	2024-10-11T00:20:00	D06	13	Emirates	Manchester	None	3
A6EUM	EK 355	EK	UAE	QF 8355	SIN	WSSS	None	None	DXB	OMDB	388	A388	EST	2024-10-11T00:20:00	F18	14	Emirates	Singapore	None	3
None	TK 760	TK	THY	NH 6648	IST	LTFM	None	None	DXB	OMDB	77W	B77W	EST	2024-10-11T00:20:00	C58	5	Turkish Airlines	Istanbul	None	1
A6EOZ	EK 804	EK	UAE	"MK 9963	UA 6593"	JED	OEJN	None	None	DXB	OMDB	388	A388	EST	2024-10-11T00:15:00	D04	None	Emirates	Jeddah	None	3
A6EWF	EK 256	EK	UAE	"QF 8256	TP 6385	AV 6254"	MEX	MMMX	BCN	LEBL	DXB	OMDB	77L	B77L	EST	2024-10-11T00:15:00	B15	1	Emirates	Mexico City	Barcelona	3
A6EWI	EK 603	EK	UAE	"AC 7573	MK 9931"	KHI	OPKC	None	None	DXB	OMDB	77L	B77L	EST	2024-10-11T00:10:00	B14	8	Emirates	Karachi	None	3
A6ENR	EK 529	EK	UAE	None	HYD	VOHS	None	None	DXB	OMDB	77W	B77W	EST	2024-10-11T00:10:00	F26L	2	Emirates	Hyderabad	None	3
A6EEK	EK 078	EK	UAE	QF 8078	NCE	LFMN	None	None	DXB	OMDB	388	A388	EST	2024-10-11T00:10:00	B08	6	Emirates	Nice	None	3
A6FES	FZ 026	FZ	FDB	"AC 7548	EK 2019	UA 6531"	BAH	OBBI	None	None	DXB	OMDB	7S8	B738	EST	2024-10-11T00:10:00	Q04	None	Flydubai	Bahrain	None	2
A6EGK	EK 158	EK	UAE	QF 8158	ARN	ESSA	None	None	DXB	OMDB	77W	B77W	EST	2024-10-11T00:05:00	F25	11	Emirates	Stockholm	None	3
A6EGR	EK 509	EK	UAE	None	BOM	VABB	None	None	DXB	OMDB	77W	B77W	EST	2024-10-11T00:05:00	F12	6	Emirates	Mumbai	None	3
A6FGH	FZ 728	FZ	FDB	EK 2095	IST	LTFM	None	None	DXB	OMDB	7S8	B738	DLU	2024-10-11T00:05:00	E11R	5	Flydubai	Istanbul	None	2
